Titulo,Autor,Estilo,Entregue a,Dedicatória
Manual de direito do trabalho  ,Gustavo Filipe Barbosa Garcia.,,,x
Benefícios previdenciários  ,Hermes Arrais Alencar.,,,x
Manual de direito previdênciario  ,Hugo Goes.,,,
Direito previdênciario  ,Frederico Amado.,,,
Curso de direito Comercial  direito de empresa  ,Fabio Ulhôa Coelho.,,,
Curso de direito Comercial   I e II,Rubens Requião.,,,x
Direito internacional privado parte geral  ,Jacob Dolinger.,,,x
Curso de direito internacional público  ,Celso D. De Albuquerque Mello.,,,
Arbitragem Comercial Internacional,Irineu Strenger.,,,x
Curso de direito privado da navegação  direito marítimo Vol. I ,J.C. Sampaio de Lacerda,,,x
Lei dos registros públicos  Walter Ceneviva.,,,,
Lei dos notários e dos registradores  comentada  ,Walter Ceneviva.,,,
Correções ao individualismo jurídico  ,Luiz Delgado.,,,
Teoria geral das normas  ,Hans Kelsen,,,x
Direito Eleitoral  ,Ricardo Cunha Chimenti. ,,,
A Ilha do tesouro  ,Robert Louis Stevenson. ,,,
O pequeno príncipe  ,Antoine SaintExupéry .,,,
As pupilas do senhor reitor  ,Júlio Dinis.,,,
Motim na baia dos ossos  ,Mark Burgess.,,,
O mundo de Sofia  ,Jostein Gaarder,,,
O Diário de Anne Frank  ,Otto H. Frank e Mirjam Pressler.,,,
Noite na taverna  ,Álvares de Azevedo.,,,x
Amor de perdição  ,Camilo C. Branco.,,,
Robinson Cruzoé    por Werner Zotz.,Daniel Defoe,,,
"As Viagens ""Il Milion te"" ,Março Polo,,,"
Eu e outras poesias  ,Augusto dos Anjos.,,,
Noites brancas  ,Fiódor Dostoiévski,,,
O que as mulheres conversam no banheiro  ,Rosângela Ojuara,,,
Como conquistar as pessoas  ,Allan & Barbara Pease. ,,,
A linguagem dos sentimentos  ,David Viscott. ,,,
Os crimes da luz  ,Giulio Leoni. ,,,
A guerra dos tronos  As crônicas de gelo e fogo ,George R.R. Martin ,,,
O fantasma de Manhattan  ,Frederick Forsyth. ,,,
O punho de Deus  ,Frederick Forsyth,,,
 Guia prático do pôquer  ,Trevor  Sippets.,,,
Grandes civilizações do passado  França  ,John Ardagh e Colin Jones,,,
Batalhas medievais 1.000~1.500  Conflitos que marcaram uma época e mudaram a história do mundo  ,Kelly Devries, Martin Dougherty, Ian Dickie, Phillis G. Jestice e christer Jorgensen.,,,
